Source,Target
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Abrasion/disturbance of the substrate on the surface of the seabed
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Changes in suspended solids (water clarity)
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Introduction of light
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Introduction or spread of invasive non-indigenous species (INIS)
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Physical change (to another seabed type)
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Physical change (to another sediment type)
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Smothering and siltation rate changes (Heavy)
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Smothering and siltation rate changes (Light)
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Underwater noise changes
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Visual disturbance
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Water flow (tidal current) changes, including sediment transport considerations"
"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Wave exposure changes
Deep sea mining,Above water noise
Deep sea mining,Abrasion/disturbance of the substrate on the surface of the seabed
Deep sea mining,Changes in suspended solids (water clarity)
Deep sea mining,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Deep sea mining,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Deep sea mining,Habitat structure changes - removal of substratum (extraction)
Deep sea mining,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Deep sea mining,Introduction of light
Deep sea mining,"Introduction of other substances (solid, liquid or gas)"
Deep sea mining,Introduction or spread of invasive non-indigenous species (INIS)
Deep sea mining,Litter
Deep sea mining,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Deep sea mining,Physical change (to another seabed type)
Deep sea mining,Physical change (to another sediment type)
Deep sea mining,Smothering and siltation rate changes (Heavy)
Deep sea mining,Smothering and siltation rate changes (Light)
Deep sea mining,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Deep sea mining,Temperature decrease
Deep sea mining,Temperature increase
Deep sea mining,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Deep sea mining,Underwater noise changes
Deep sea mining,Visual disturbance
Exploratory drilling,Above water noise
Exploratory drilling,Abrasion/disturbance of the substrate on the surface of the seabed
Exploratory drilling,Changes in suspended solids (water clarity)
Exploratory drilling,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Exploratory drilling,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Exploratory drilling,Habitat structure changes - removal of substratum (extraction)
Exploratory drilling,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Exploratory drilling,Introduction of light
Exploratory drilling,"Introduction of other substances (solid, liquid or gas)"
Exploratory drilling,Introduction or spread of invasive non-indigenous species (INIS)
Exploratory drilling,Litter
Exploratory drilling,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Exploratory drilling,Physical change (to another seabed type)
Exploratory drilling,Physical change (to another sediment type)
Exploratory drilling,Radionuclide contamination
Exploratory drilling,Smothering and siltation rate changes (Light)
Exploratory drilling,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Exploratory drilling,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Exploratory drilling,Underwater noise changes
Exploratory drilling,Vibration
Exploratory drilling,Visual disturbance
Gas storage operations (carbon capture and natural gas storage),Above water noise
Gas storage operations (carbon capture and natural gas storage),Abrasion/disturbance of the substrate on the surface of the seabed
Gas storage operations (carbon capture and natural gas storage),Barrier to species movement
Gas storage operations (carbon capture and natural gas storage),Changes in suspended solids (water clarity)
Gas storage operations (carbon capture and natural gas storage),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Gas storage operations (carbon capture and natural gas storage),Habitat structure changes - removal of substratum (extraction)
Gas storage operations (carbon capture and natural gas storage),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Gas storage operations (carbon capture and natural gas storage),Introduction of light
Gas storage operations (carbon capture and natural gas storage),"Introduction of other substances (solid, liquid or gas)"
Gas storage operations (carbon capture and natural gas storage),Introduction or spread of invasive non-indigenous species (INIS)
Gas storage operations (carbon capture and natural gas storage),Litter
Gas storage operations (carbon capture and natural gas storage),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Gas storage operations (carbon capture and natural gas storage),Physical change (to another seabed type)
Gas storage operations (carbon capture and natural gas storage),Physical change (to another sediment type)
Gas storage operations (carbon capture and natural gas storage),Radionuclide contamination
Gas storage operations (carbon capture and natural gas storage),Salinity increase
Gas storage operations (carbon capture and natural gas storage),Smothering and siltation rate changes (Heavy)
